DB00862	DB00966
DB00575	DB00806
DB01242	DB08893
DB01151	DB08883
DB01235	DB01275
DB00018	DB00333
DB00201	DB01609
DB00712	DB01418
DB01576	DB04842
DB01609	DB06212
DB01232	DB09291
DB00382	DB06153
DB01017	DB01142
DB00214	DB01174
DB00104	DB00908
DB00569	DB01109
DB01222	DB09063
DB00898	DB01589
DB00762	DB09054
DB00780	DB01158
DB00186	DB09071
DB01248	DB06688
DB00484	DB00881
DB00396	DB00682
DB00368	DB01551
DB00054	DB00605
DB01320	DB09061
DB01167	DB01320
DB00186	DB00572
DB00921	DB09272
DB01026	DB08865
DB00999	DB01114
DB01242	DB09042
DB00041	DB00381
DB00717	DB06404
DB00673	DB08918
DB01167	DB01215
DB00072	DB00305
DB01100	DB06201
DB01095	DB01393
DB08883	DB09072
DB00983	DB01223
DB00865	DB01623
DB00211	DB00316
DB00422	DB00876
DB00366	DB01189
DB00997	DB04905
DB00177	DB09401
DB01211	DB01215
DB00603	DB01418
DB01268	DB01394
DB00623	DB00656
DB00834	DB09039
DB00104	DB08881
DB00675	DB05812
DB00215	DB00420
DB00401	DB09059
DB00625	DB00956
DB00624	DB00834
DB00780	DB00918
DB00070	DB01222
DB01104	DB01296
DB00443	DB00672
DB00390	DB00986
DB01207	DB06228
DB00618	DB09146
DB00252	DB01182
DB01166	DB06636
DB00108	DB01234
DB09118	DB09128
DB00413	DB00972
DB08873	DB08881
DB00397	DB00983
DB00503	DB00758
DB00126	DB00717
DB00243	DB08889
DB00503	DB00813
DB00991	DB01254
DB01151	DB09072
DB00367	DB01124
DB00238	DB01319
DB00182	DB00816
DB00328	DB04272
DB00502	DB01367
DB01207	DB08976
DB00257	DB01100
DB00715	DB01268
DB01036	DB06290
DB01201	DB09068
DB00418	DB01054
DB01233	DB01238
DB01184	DB09065
DB00204	DB00887
DB04855	DB09053
DB00482	DB06779
DB00501	DB01142
DB00337	DB01181
DB00046	DB00957
DB00366	DB00470
DB00816	DB00871
DB00542	DB09282
DB00959	DB08873
DB01224	DB04876
DB01021	DB06203
DB06480	DB09123
DB00582	DB00622
DB00193	DB05521
DB01100	DB01319
DB00623	DB09076
DB01029	DB08935
DB01259	DB04905
DB00864	DB01320
DB00252	DB01026
DB01167	DB09102
DB01151	DB05271
DB00046	DB09043
DB00767	DB09068
DB00470	DB00752
DB00628	DB00653
DB04905	DB08931
DB04938	DB09063
DB00420	DB00934
DB00451	DB09407
DB00741	DB01306
DB00864	DB00991
DB00960	DB01119
DB00737	DB06204
DB00195	DB00237
DB00798	DB01163
DB00401	DB00648
DB01323	DB06789
DB00273	DB06282
DB01223	DB01558
DB00802	DB01021
DB00284	DB01208
DB00784	DB00790
DB00673	DB08912
DB01038	DB01577
DB00310	DB00391
DB01023	DB01235
DB00898	DB01100
DB00334	DB01553
DB00408	DB00952
DB00912	DB01403
DB00571	DB08881
DB00054	DB01395
DB00232	DB00237
DB00252	DB00903
DB00657	DB01145
DB00031	DB06779
DB00508	DB00514
DB00188	DB09118
DB00834	DB01115
DB00959	DB09220
DB00796	DB01119
DB00752	DB01276
DB01418	DB08816
DB00208	DB06271
DB00820	DB00999
DB00687	DB06335
DB00196	DB00338
DB00619	DB04905
DB00794	DB00921
DB01167	DB09143
DB00029	DB06605
DB04946	DB09072
DB01174	DB08864
DB00715	DB00754
DB06287	DB09054
DB00880	DB01016
DB00688	DB08795
DB00479	DB00535
DB00569	DB08976
DB00422	DB00502
DB00752	DB00937
DB06772	DB09063
DB00682	DB06695
DB00196	DB00758
DB00343	DB00794
DB00390	DB00500
DB00864	DB08916
DB00450	DB09271
DB00409	DB06684
DB00327	DB01247
DB00611	DB00972
DB00706	DB01012
DB06153	DB08897
DB00108	DB04572
DB00620	DB01307
DB00069	DB00495
DB00384	DB09242
DB00408	DB01403
DB00280	DB06717
DB00312	DB00796
DB01167	DB06218
DB00374	DB00700
DB00136	DB06290
DB00715	DB00950
DB00625	DB00813
DB00726	DB01560
DB00078	DB00605
DB01576	DB01618
DB00069	DB04817
DB00875	DB09068
DB01062	DB01072
DB00540	DB06144
DB00452	DB01150
DB01201	DB08882
DB00384	DB00652
DB00182	DB00321
DB00705	DB09068
DB00830	DB01274
DB00420	DB01037
DB00790	DB00814
DB01158	DB09063
DB00311	DB00497
DB00220	DB01320
DB00741	DB04876
DB00679	DB01075
DB01229	DB08895
DB00209	DB04924
DB00410	DB09268
DB00888	DB01656
DB01009	DB09026
DB00188	DB00736
DB00519	DB08935
DB01600	DB01609
DB00056	DB08895
DB00608	DB00612
DB00641	DB09036
DB01251	DB09564
DB00714	DB00834
DB00177	DB01109
DB00363	DB01238
DB00472	DB00765
DB01204	DB06688
DB01556	DB09080
DB00682	DB04855
DB01120	DB01601
DB01201	DB06684
DB00808	DB00930
DB01211	DB06287
DB00820	DB00932
DB00368	DB01274
DB00503	DB00938
DB00554	DB03619
DB00559	DB00608
DB01167	DB01224
DB00181	DB09118
DB01021	DB01591
DB01041	DB06282
DB00177	DB00876
DB00675	DB01156
DB00857	DB04861
DB00661	DB01319
DB00486	DB00593
DB00924	DB05812
DB00300	DB00573
DB00215	DB01184
DB00543	DB00715
DB08933	DB09039
DB00220	DB06218
DB00904	DB09068
DB09272	DB09300
DB00289	DB00932
DB00573	DB00974
DB00457	DB00668
DB06273	DB06616
DB00490	DB01045
DB00559	DB09071
DB00524	DB00776
DB00736	DB04868
DB00201	DB01398
DB01247	DB09272
DB00206	DB09242
DB00176	DB09071
DB00909	DB02703
DB00997	DB09118
DB00201	DB06704
DB00454	DB01624
DB00258	DB00393
DB00557	DB00956
DB00480	DB09033
DB00653	DB00842
DB01033	DB01656
DB00472	DB09042
DB00035	DB00741
DB00181	DB00726
DB00311	DB00611
DB00540	DB00653
DB00872	DB01072
DB01254	DB08912
DB01032	DB01059
DB00648	DB01023
DB00683	DB01026
DB01609	DB04938
DB00268	DB00690
DB00231	DB00333
DB00046	DB01200
DB01254	DB01390
DB00252	DB01264
DB00541	DB00564
DB00499	DB09277
DB00220	DB00361
DB00277	DB01178
DB00252	DB09071
DB00390	DB06715
DB00623	DB00989
DB01175	DB06271
DB01320	DB04825
DB01172	DB01604
DB00541	DB09118
DB00425	DB00628
DB06273	DB08910
DB00285	DB04842
DB00540	DB06704
DB00404	DB00972
DB04841	DB09104
DB00494	DB00715
DB00946	DB06441
DB06603	DB09036
DB01590	DB09102
DB00379	DB00980
DB01126	DB01264
DB00633	DB01353
DB00312	DB01214
DB01120	DB01169
DB00046	DB09128
DB00091	DB06589
DB00455	DB04924
DB00677	DB01049
DB06203	DB06719
DB01069	DB09280
DB00215	DB00871
DB01023	DB09407
DB00015	DB08794
DB00635	DB00956
DB00498	DB09539
DB00398	DB09065
DB00867	DB00945
DB00796	DB00806
DB00250	DB01015
DB00072	DB00515
DB00401	DB00692
DB00399	DB00798
DB00528	DB01377
DB00263	DB00393
DB00653	DB01068
DB00370	DB00484
DB00177	DB00862
DB00675	DB04938
DB00916	DB01418
DB00181	DB00611
DB00273	DB00425
DB00328	DB00452
DB00408	DB00865
DB00752	DB09038
DB00794	DB01203
DB00477	DB01037
DB00224	DB00897
DB00549	DB09063
DB00295	DB01203
DB00252	DB00564
DB00946	DB01600
DB01104	DB04272
DB00945	DB09564
DB00401	DB08873
DB00707	DB05239
DB00497	DB09042
DB00401	DB08899
DB00215	DB00358
DB00477	DB06700
DB00484	DB08815
DB00661	DB04905
DB00864	DB01016
DB00186	DB00268
DB00391	DB01104
DB00503	DB08914
DB01129	DB06695
DB00363	DB00656
DB00231	DB08883
DB04897	DB09063
DB04905	DB06695
DB00541	DB01234
DB01132	DB01398
DB00054	DB00932
DB00687	DB01208
DB00366	DB06690
DB00610	DB00983
DB00014	DB00204
DB00327	DB00484
DB00041	DB06781
DB00784	DB00955
DB06684	DB09065
DB00193	DB00344
DB01029	DB01392
DB00661	DB00697
DB00502	DB09073
DB01142	DB01239
DB00794	DB01197
DB01167	DB08864
DB00363	DB00414
DB00684	DB00887
DB00307	DB06335
DB00248	DB06707
DB00559	DB01241
DB00752	DB06698
DB00191	DB00295
DB00794	DB06212
DB00752	DB00831
DB00598	DB06707
DB00237	DB01427
DB00714	DB00904
DB00312	DB00742
DB00196	DB00401
DB00761	DB00950
DB00366	DB00434
DB00974	DB06209
DB00618	DB09267
DB01016	DB01119
DB04868	DB09073
DB00780	DB01247
DB01171	DB04884
DB00557	DB00761
DB00916	DB04339
DB00598	DB00794
DB00335	DB01354
DB00091	DB00126
DB00083	DB06696
DB00695	DB00802
DB01201	DB04845
DB04845	DB09063
DB00007	DB01124
