,Drug1_ID
0,DB00904
1,DB05294
2,DB00714
3,DB01045
4,DB09266
5,DB09052
6,DB01253
7,DB06723
8,DB01559
9,DB01594
10,DB00957
11,DB01093
12,DB09070
13,DB06441
14,DB00823
15,DB00130
16,DB08826
17,DB09057
18,DB00683
19,DB01656
20,DB09104
21,DB00280
22,DB00641
23,DB00423
24,DB00838
25,DB00163
26,DB11095
27,DB00635
28,DB00820
29,DB00980
30,DB00177
31,DB00973
32,DB00073
33,DB08941
34,DB11057
35,DB01280
36,DB00585
37,DB06288
38,DB06271
39,DB06819
40,DB04855
41,DB01145
42,DB09046
43,DB01019
44,DB01129
45,DB00900
46,DB01603
47,DB06168
48,DB00009
49,DB00796
50,DB00407
51,DB00406
52,DB00389
53,DB08902
54,DB01070
55,DB00013
56,DB00966
57,DB09099
58,DB00382
59,DB00760
60,DB00081
61,DB00227
62,DB00556
63,DB01398
64,DB00211
65,DB01026
66,DB01117
67,DB00705
68,DB00182
69,DB06590
70,DB00501
71,DB06153
72,DB00997
73,DB09045
74,DB04905
75,DB08883
76,DB01039
77,DB09255
78,DB00031
79,DB06412
80,DB00765
81,DB00911
82,DB01618
83,DB01511
84,DB00337
85,DB00346
86,DB08815
87,DB01351
88,DB00999
89,DB09286
90,DB00332
91,DB08880
92,DB00738
93,DB00628
94,DB01067
95,DB01296
96,DB00916
97,DB00461
98,DB00063
99,DB00662
100,DB01217
101,DB00503
102,DB03880
103,DB01113
104,DB01004
105,DB06413
106,DB00752
107,DB00963
108,DB01222
109,DB08816
110,DB00981
111,DB00784
112,DB00214
113,DB01327
114,DB00258
115,DB01363
116,DB01242
117,DB08874
118,DB01437
119,DB09079
120,DB00602
121,DB00529
122,DB08869
123,DB00170
124,DB00536
125,DB01066
126,DB00726
127,DB00021
128,DB00723
129,DB00443
130,DB01220
131,DB01115
132,DB00259
133,DB00590
134,DB06674
135,DB01155
136,DB00903
137,DB09407
138,DB08811
139,DB06403
140,DB08795
141,DB01200
142,DB00572
143,DB00682
144,DB01359
145,DB01241
146,DB06212
147,DB00959
148,DB00732
149,DB00364
150,DB00377
151,DB06709
152,DB00115
153,DB08934
154,DB09210
155,DB00776
156,DB01613
157,DB00493
158,DB00749
159,DB01390
160,DB00945
161,DB08893
162,DB01207
163,DB01195
164,DB00987
165,DB00798
166,DB08916
167,DB00162
168,DB00851
169,DB06659
170,DB01354
171,DB06527
172,DB00216
173,DB00352
174,DB06795
175,DB00889
176,DB09272
