#Drug	Gene
DB00357	P05108
DB02721	P00325
DB00773	P23219
DB07138	Q16539
DB08136	P24941
DB01242	P23975
DB01238	P08173
DB00186	P48169
DB00338	P10635
DB01151	P08913
DB01244	P05023
DB01745	P07477
DB01996	P08254
DB04800	P18031
DB08352	Q16539
DB00133	P21549
DB00163	P21266
DB00197	P10632
DB06777	P08684
DB01151	P10635
DB00356	P08684
DB01589	P34903
DB01272	P20645
DB08846	Q14534
DB01151	P33261
DB01076	P04035
DB00605	Q03181
DB08515	P49721
DB02401	P07195
DB01057	P06276
DB03286	P11217
DB08814	Q9Y233
DB00945	P23219
DB01809	P07949
DB01352	Q16445
DB00185	P10635
DB01708	Q14957
DB04058	P15085
DB00570	Q9UJT1
DB02805	P07998
DB01355	P43681
DB00834	P24462
DB00734	P08913
DB01708	Q9UN88
DB03981	Q9Y663
DB07124	P17612
DB08137	P24941
DB00143	P10768
DB00102	P16234
DB00188	P28070
DB00533	P23219
DB01520	Q13224
DB08355	P24941
DB01252	P37231
DB01215	P18507
DB01221	P41145
DB00922	Q14432
DB00586	P04798
DB00243	P08684
DB00054	P12318
DB00051	P31994
DB05238	P15056
DB04335	P00491
DB05030	P35968
DB00231	P18507
DB00162	P00352
DB00988	P33261
DB00373	P08588
DB01223	P05177
DB00255	P11712
DB01247	P21397
DB00564	P10632
DB04551	P30613
DB02056	P42330
DB08424	Q16539
DB05387	P08253
DB03865	P05981
DB04405	P39900
DB04322	P11586
DB01357	P03372
DB01698	P10632
DB07616	O60760
DB01011	P11509
DB00005	P08637
DB01074	P10635
DB00475	P48169
DB00939	O43526
DB00518	P04798
DB01587	O14764
DB00201	Q07343
DB04444	P30085
DB03501	P15291
DB09068	P20815
DB03103	P15531
DB00753	P62158
DB01381	P14867
DB01820	P18031
DB03461	Q16698
DB00836	P62158
DB08914	P06213
DB00116	P13995
DB00139	Q8WWT9
DB00114	Q6P996
DB00139	O14521
DB01167	P20815
DB07034	O14757
DB04389	P49789
DB00328	Q9Y5Y4
DB00201	Q08493
DB00515	P02795
DB05079	P35367
DB08095	Q16539
DB00993	P00492
DB05157	Q15759
DB02250	P61626
DB05260	P31350
DB00820	P08684
DB05280	P35462
DB03152	P08100
DB07428	P68871
DB00477	P17405
DB00721	Q15822
DB01156	P11712
DB05390	P41231
DB01454	P31645
DB00744	P08684
DB00108	P02745
DB01424	P10632
DB04216	P06576
DB01224	P35462
DB00112	P31995
DB01365	P35368
DB00200	P22033
DB00696	P25100
DB04922	Q9NY47
DB07494	Q494W8
DB08385	O00519
DB07020	P45984
DB03758	Q15120
DB06147	P11511
DB01095	P10635
DB00114	P34896
DB00439	P08684
DB05096	Q14832
DB06637	Q9UK17
DB01085	P08172
DB03179	Q86VU5
DB06678	P28335
DB03088	P15692
DB03757	Q9UNI1
DB00854	P35372
DB00338	P33261
DB08697	P00749
DB00458	P23975
DB00945	Q04828
DB03033	P08254
DB00812	P35354
DB06871	P03372
DB07934	P00734
DB00622	P20813
DB02726	P14618
DB00182	P08588
DB00613	P10632
DB00934	P18089
DB06605	P11712
DB07374	P61313
DB00169	P11473
DB00575	P18089
DB07347	P04406
DB06016	P08908
DB06866	P00734
DB05207	P14778
DB01403	P35462
DB04400	P00439
DB06858	P07477
DB00174	O43776
DB00155	P29475
DB06695	P54855
DB06678	P28223
DB00289	Q12879
DB01324	P55017
DB06944	P24941
DB00114	Q9NVS9
DB00157	O75306
DB00655	P08684
DB05424	P00533
DB01026	P10632
DB01695	P60174
DB00852	P07550
DB00143	Q03013
DB00594	P19801
DB07680	P23946
DB00157	O95182
DB07388	P29474
DB00670	P11229
DB01102	P13945
DB01207	P21731
DB00126	P19021
DB08846	P05771
DB00734	P35367
DB00824	Q07343
DB00683	P20815
DB01954	Q08499
DB00661	O00305
DB04841	P11712
DB00268	P28221
DB00659	Q14957
DB03760	Q15120
DB09026	P00797
DB01708	O75469
DB06216	P35367
DB01049	P78334
DB00849	P34903
DB01018	P18089
DB07390	P08254
DB00313	P10632
DB00411	Q15822
DB00086	P25116
DB00200	Q9BXJ7
DB04820	P27338
DB01622	P35348
DB01483	P14867
DB07701	P22303
DB00167	Q9NSE4
DB00318	P24462
DB07080	O75469
DB00157	P04035
DB00889	P20815
DB09053	P08684
DB06069	P11387
DB00543	P18825
DB07427	P69905
DB00830	Q01959
DB00598	P08588
DB04395	P06239
DB01049	P46098
DB02494	P62829
DB04574	P05177
DB02264	P05230
DB00825	Q8NET8
DB01620	P35367
DB04006	P24941
DB06844	P20248
DB00408	P08912
DB01029	P10632
DB01024	P22309
DB01122	P22303
DB04836	P23975
DB03130	Q04760
DB06216	P18825
DB07621	P11509
DB00197	P54855
DB03101	P00491
DB03461	P11413
DB01151	P18089
DB06616	P08684
DB06931	O95749
DB04234	P43235
DB01011	P15538
DB00075	P02747
DB01548	O60858
DB07167	P07333
DB04604	Q8TF76
DB00540	P28223
DB07344	Q8IVS2
DB02796	P00491
DB01424	P24462
DB04369	P35030
DB05290	P25101
DB08354	P68400
DB04855	O95069
DB08515	P25789
DB07107	P17612
DB01643	P04818
DB07765	P0CG22
DB00016	P19235
DB00371	Q9UN88
DB07468	Q7Z406
DB00343	P10635
DB00675	Q05655
DB03329	P07858
DB01942	Q9NQX3
DB04534	P29474
DB02638	P47901
DB04920	Q13698
DB01198	P08684
DB00296	Q9Y5Y9
DB00729	P20309
DB01221	P30939
DB00952	P28222
DB09082	P08684
DB00153	Q02318
DB00767	P20309
DB02400	P15559
DB03206	Q9UKM7
DB01049	P35348
DB02800	P34896
DB04530	Q99418
DB00583	P23786
DB07987	P08254
DB00794	P28472
DB00176	P31645
DB00979	P06276
DB07375	P06310
DB06594	P05177
DB00031	P02671
DB00195	P07550
DB02010	P48736
DB05107	P11413
DB04147	P01595
DB00041	P14784
DB00514	P04839
DB01171	P11712
DB00087	P02746
DB01496	P31644
DB00468	P33261
DB00543	P28472
DB01142	P08684
DB00905	P43115
DB02640	P50579
DB01039	P08684
DB02648	P43155
DB00025	P07307
DB00496	P11229
DB01834	P09211
DB03742	P03372
DB08690	O14957
DB04464	P15954
DB00945	Q9Y478
DB09078	P35916
DB06603	Q9UQL6
DB00996	Q9NY47
DB04871	P28335
DB00558	Q9Y3R4
DB03575	Q8TCU5
DB01196	P11137
DB00482	P35354
DB00169	Q02318
DB00624	P04798
DB05736	P43235
DB00961	Q9Y5Y9
DB00402	Q9UN88
DB01611	Q9NR96
DB04395	P78362
DB08896	P20813
DB03461	Q92506
DB00835	P20309
DB01028	P34903
DB01588	P28476
DB07401	O14949
DB00518	Q71U36
DB02325	P01375
DB04464	P09669
DB08800	P35367
DB04315	P49411
DB01873	P04350
DB00292	P14867
DB00475	P14867
DB00520	P08684
DB00599	Q13002
DB01392	P28335
DB04574	P08684
DB02901	P05108
DB05283	P05177
DB00889	P04798
DB00540	P08684
DB01238	P28221
DB04513	P62158
DB00893	P68871
DB00540	P28335
DB01363	P18825
DB00976	P20815
