,Drug_ID,Protein_ID,label
0,DB02721,P00325,1
1,DB08136,P24941,1
2,DB01242,P23975,1
3,DB01238,P08173,1
4,DB00186,P48169,1
5,DB00338,P10635,1
6,DB01151,P08913,1
7,DB01244,P05023,1
8,DB01996,P08254,1
9,DB08352,Q16539,1
10,DB00163,P21266,1
11,DB00197,P10632,1
12,DB06777,P08684,1
13,DB01151,P10635,1
14,DB00356,P08684,1
15,DB01076,P04035,1
16,DB08515,P49721,1
17,DB02401,P07195,1
18,DB01057,P06276,1
19,DB03286,P11217,1
20,DB08814,Q9Y233,1
21,DB00185,P10635,1
22,DB02805,P07998,1
23,DB00834,P24462,1
24,DB00734,P08913,1
25,DB01708,Q9UN88,1
26,DB00143,P10768,1
27,DB00102,P16234,1
28,DB00533,P23219,1
29,DB01520,Q13224,1
30,DB08355,P24941,1
31,DB01252,P37231,1
32,DB01215,P18507,1
33,DB01221,P41145,1
34,DB00922,Q14432,1
35,DB00586,P04798,1
36,DB00243,P08684,1
37,DB00054,P12318,1
38,DB00051,P31994,1
39,DB05238,P15056,1
40,DB04335,P00491,1
41,DB05030,P35968,1
42,DB00231,P18507,1
43,DB00162,P00352,1
44,DB00988,P33261,1
45,DB00373,P08588,1
46,DB01223,P05177,1
47,DB01247,P21397,1
48,DB00564,P10632,1
49,DB02056,P42330,1
50,DB05387,P08253,1
51,DB03865,P05981,1
52,DB04405,P39900,1
53,DB04322,P11586,1
54,DB01357,P03372,1
55,DB01698,P10632,1
56,DB00005,P08637,1
57,DB00475,P48169,1
58,DB00939,O43526,1
59,DB00201,Q07343,1
60,DB04444,P30085,1
61,DB03103,P15531,1
62,DB00753,P62158,1
63,DB01820,P18031,1
64,DB00836,P62158,1
65,DB08914,P06213,1
66,DB00116,P13995,1
67,DB00139,Q8WWT9,1
68,DB00139,O14521,1
69,DB01167,P20815,1
70,DB07034,O14757,1
71,DB04389,P49789,1
72,DB00515,P02795,1
73,DB00993,P00492,1
74,DB02250,P61626,1
75,DB05260,P31350,1
76,DB00820,P08684,1
77,DB03152,P08100,1
78,DB00477,P17405,1
79,DB00721,Q15822,1
80,DB01156,P11712,1
81,DB05390,P41231,1
82,DB01454,P31645,1
83,DB00108,P02745,1
84,DB04216,P06576,1
85,DB01224,P35462,1
86,DB00200,P22033,1
87,DB00696,P25100,1
88,DB07494,Q494W8,1
89,DB07020,P45984,1
90,DB06147,P11511,1
91,DB01095,P10635,1
92,DB06637,Q9UK17,1
93,DB03179,Q86VU5,1
94,DB06678,P28335,1
95,DB03088,P15692,1
96,DB03757,Q9UNI1,1
97,DB00854,P35372,1
98,DB00338,P33261,1
99,DB08697,P00749,1
100,DB00458,P23975,1
101,DB00945,Q04828,1
102,DB03033,P08254,1
103,DB00812,P35354,1
104,DB06871,P03372,1
105,DB07934,P00734,1
106,DB00622,P20813,1
107,DB02726,P14618,1
108,DB00182,P08588,1
109,DB00934,P18089,1
110,DB06605,P11712,1
111,DB00169,P11473,1
112,DB00575,P18089,1
113,DB07347,P04406,1
114,DB05207,P14778,1
115,DB01403,P35462,1
116,DB04400,P00439,1
117,DB06858,P07477,1
118,DB00155,P29475,1
119,DB06695,P54855,1
120,DB06678,P28223,1
121,DB00289,Q12879,1
122,DB01324,P55017,1
123,DB06944,P24941,1
124,DB00114,Q9NVS9,1
125,DB00655,P08684,1
126,DB05424,P00533,1
127,DB01026,P10632,1
128,DB00143,Q03013,1
129,DB00594,P19801,1
130,DB00157,O95182,1
131,DB07388,P29474,1
132,DB00126,P19021,1
133,DB08846,P05771,1
134,DB00824,Q07343,1
135,DB01954,Q08499,1
136,DB00661,O00305,1
137,DB04841,P11712,1
138,DB00268,P28221,1
139,DB00659,Q14957,1
140,DB03760,Q15120,1
141,DB01708,O75469,1
142,DB06216,P35367,1
143,DB01049,P78334,1
144,DB00849,P34903,1
145,DB00313,P10632,1
146,DB00086,P25116,1
147,DB00200,Q9BXJ7,1
148,DB01622,P35348,1
149,DB07701,P22303,1
150,DB00318,P24462,1
151,DB00157,P04035,1
152,DB09053,P08684,1
153,DB06069,P11387,1
154,DB00830,Q01959,1
155,DB00598,P08588,1
156,DB01049,P46098,1
157,DB02494,P62829,1
158,DB04574,P05177,1
159,DB01620,P35367,1
160,DB00408,P08912,1
161,DB01029,P10632,1
162,DB04836,P23975,1
163,DB06216,P18825,1
164,DB07621,P11509,1
165,DB01151,P18089,1
166,DB06616,P08684,1
167,DB04234,P43235,1
168,DB01011,P15538,1
169,DB01548,O60858,1
170,DB07167,P07333,1
171,DB04604,Q8TF76,1
172,DB07344,Q8IVS2,1
173,DB02796,P00491,1
174,DB04369,P35030,1
175,DB05290,P25101,1
176,DB08354,P68400,1
177,DB04855,O95069,1
178,DB07107,P17612,1
179,DB07765,P0CG22,1
180,DB00371,Q9UN88,1
181,DB07468,Q7Z406,1
182,DB00343,P10635,1
183,DB00675,Q05655,1
184,DB01942,Q9NQX3,1
185,DB04920,Q13698,1
186,DB00296,Q9Y5Y9,1
187,DB00729,P20309,1
188,DB01221,P30939,1
189,DB00952,P28222,1
190,DB00153,Q02318,1
191,DB01049,P35348,1
192,DB02800,P34896,1
193,DB00583,P23786,1
194,DB07987,P08254,1
195,DB00176,P31645,1
196,DB00979,P06276,1
197,DB07375,P06310,1
198,DB06594,P05177,1
199,DB00031,P02671,1
200,DB02010,P48736,1
201,DB04147,P01595,1
202,DB01171,P11712,1
203,DB00087,P02746,1
204,DB00468,P33261,1
205,DB02640,P50579,1
206,DB01039,P08684,1
207,DB00025,P07307,1
208,DB00496,P11229,1
209,DB03742,P03372,1
210,DB04464,P15954,1
211,DB00945,Q9Y478,1
212,DB09078,P35916,1
213,DB00558,Q9Y3R4,1
214,DB03575,Q8TCU5,1
215,DB00482,P35354,1
216,DB00169,Q02318,1
217,DB00624,P04798,1
218,DB05736,P43235,1
219,DB00961,Q9Y5Y9,1
220,DB00402,Q9UN88,1
221,DB01611,Q9NR96,1
222,DB08896,P20813,1
