,Entity_ID
0,1
1,2
2,9
3,10
4,C0279980
5,12
6,13
7,C2931228
8,15
9,16
10,18
11,19
12,21
13,22
14,23
15,24
16,25
17,26
18,28
19,29
20,31
21,32
22,33
23,34
24,35
25,36
26,37
27,38
28,39
29,40
30,41
31,C0525045
32,43
33,C4225415
34,131118
35,47
36,48
37,50
38,51
39,52
40,53
41,54
42,55
43,58
44,59
45,60
46,70
47,71
48,72
49,C0342735
50,81
51,C0010273
52,86
53,87
54,88
55,90
56,92
57,93
58,94
59,95
60,98
61,100
62,101
63,102
64,103
65,104
66,105
67,131177
68,107
69,108
70,109
71,C0149622
72,111
73,112
74,113
75,114
76,116
77,117
78,118
79,119
80,120
81,C1563696
82,123
83,124
84,125
85,126
86,127
87,128
88,C0013146
89,130
90,131
91,132
92,133
93,134
94,135
95,136
96,C0030044
97,C1837530
98,C3551443
99,140
100,142
101,143
102,147
103,148
104,150
105,151
106,152
107,153
108,154
109,155
110,156
111,157
112,158
113,159
114,163
115,165
116,166
117,173
118,174
119,175
120,176
121,177
122,178
123,C1834659
124,181
125,182
126,183
127,C0701818
128,185
129,186
130,189
131,190
132,191
133,196
134,197
135,199
136,203
137,204
138,205
139,207
140,208
141,C3810072
142,210
143,211
144,212
145,213
146,214
147,215
148,216
149,217
150,218
151,219
152,220
153,221
154,222
155,224
156,225
157,226
158,C3554000
159,229
160,C1867060
161,231
162,C0019269
163,238
164,239
165,240
166,241
167,242
168,246
169,249
170,251
171,C0950122
172,C4225316
173,257
174,258
175,259
176,265
177,266
178,267
179,268
180,269
181,270
182,271
183,272
184,274
185,275
186,C1567742
187,283
188,284
189,285
190,286
191,287
192,288
193,C0032578
194,290
195,291
196,C1863051
197,293
198,301
199,302
200,131377
201,306
202,307
203,308
204,309
205,310
206,311
207,313
208,316
209,317
210,318
211,321
212,323
213,324
214,325
215,326
216,328
217,329
218,330
219,331
220,332
221,334
222,335
223,336
224,337
225,338
226,339
227,131408
228,341
229,C0263429
230,343
231,344
232,345
233,346
234,347
235,348
236,C4225329
237,350
238,351
239,353
240,354
241,355
242,356
243,357
244,358
245,359
246,360
247,361
248,362
249,363
250,364
251,C1300268
252,366
253,367
254,368
255,369
256,C0751187
257,372
258,374
259,375
260,131450
261,383
262,384
263,387
264,388
265,389
266,392
267,393
268,395
269,396
270,397
271,C0334287
272,401
273,402
274,405
275,406
276,408
277,409
278,410
279,411
280,412
281,C0014527
282,C0270458
283,415
284,416
285,421
286,427
287,C0155015
288,429
289,430
290,434
291,435
292,438
293,440
294,443
295,444
296,445
297,460
298,462
299,463
300,C0796254
301,466
302,467
303,468
304,C1859198
305,471
306,472
307,473
308,474
309,475
310,476
311,477
312,478
313,480
314,481
315,482
316,486
317,487
318,488
319,489
320,490
321,491
322,492
323,131566
324,498
325,501
326,C0085655
327,506
328,131583
329,513
330,514
331,C1850053
332,522
333,523
334,C0042900
335,525
336,526
337,529
338,533
339,537
340,538
341,540
342,C0023466
343,C1969038
344,545
345,546
346,547
347,549
348,551
349,552
350,553
351,554
352,C1846431
353,558
354,563
355,567
356,570
357,572
358,573
359,578
360,579
361,580
362,581
363,582
364,583
365,C3275443
366,585
367,586
368,587
369,C0399440
370,590
371,C0344523
372,593
373,594
374,595
375,596
376,597
377,598
378,131669
379,604
380,607
381,610
382,611
383,613
384,617
385,622
386,623
387,624
388,C0086189
389,C3541517
390,627
391,629
392,631
393,632
394,633
395,634
396,635
397,C4225375
398,637
399,638
400,639
401,640
402,641
403,642
404,643
405,644
406,645
407,648
408,649
409,650
410,652
411,654
412,655
413,657
414,658
415,659
416,660
417,C0206682
418,664
419,667
420,668
421,669
422,672
423,673
424,675
425,676
426,678
427,682
428,683
429,C0751115
430,685
431,686
432,687
433,688
434,694
435,695
436,699
437,701
438,706
439,C1835612
440,708
441,710
442,C2349952
443,712
444,713
445,714
446,715
447,716
448,717
449,718
450,C0278110
451,720
452,721
453,722
454,C1846843
455,C0031557
456,725
457,726
458,727
459,728
460,729
461,730
462,731
463,732
464,733
465,735
466,740
467,741
468,C0008701
469,750
470,752
471,C0600176
472,C0270736
473,755
474,759
475,760
476,761
477,762
478,763
479,767
480,768
481,771
482,773
483,774
484,775
485,776
486,778
487,779
488,780
489,781
490,782
491,783
492,784
493,785
494,788
495,790
496,793
497,794
498,796
499,131870
500,799
501,800
502,801
503,805
504,808
505,810
506,811
507,813
508,814
509,815
510,816
511,817
512,818
513,131890
514,821
515,822
516,823
517,824
518,825
519,826
520,827
521,C3540662
522,829
523,831
524,832
525,833
526,834
527,835
528,836
529,837
530,C0025427
531,C1832567
532,840
533,841
534,842
535,843
536,844
537,845
538,846
539,847
540,C3150986
541,857
542,858
543,859
544,860
545,861
546,862
547,863
548,864
549,865
550,866
551,867
552,868
553,C0410204
554,C0003850
555,871
556,C4015452
557,873
558,C0795949
559,875
560,C0334584
561,883
562,C1835047
563,885
564,886
565,887
566,C1720860
567,889
568,890
569,891
570,C0001364
571,131965
572,894
573,896
574,898
575,899
576,900
577,C1845235
578,902
579,914
580,915
581,916
582,917
583,919
584,920
585,921
586,922
587,923
588,924
589,925
590,926
591,C0206667
592,928
593,929
594,930
595,931
596,939
597,940
598,941
599,942
600,943
601,C0349218
602,945
603,946
604,947
605,948
606,949
607,950
608,952
609,953
610,954
611,955
612,C0006309
613,C3151218
614,958
615,959
616,960
617,C0005967
618,962
619,963
620,965
621,966
622,967
623,968
624,969
625,C0270969
626,972
627,973
628,974
629,975
630,976
631,977
632,978
633,C0151827
634,983
635,987
636,C0265205
637,989
638,990
639,C0268141
640,994
641,995
642,996
643,998
644,999
645,1000
646,1001
647,1003
648,1004
649,1005
650,1006
651,1007
652,1008
653,1009
654,1010
655,1012
656,1013
657,1015
658,1016
659,1017
660,1018
661,1019
662,1020
663,1021
664,1024
665,1026
666,1027
667,1028
668,1029
669,1030
670,1031
671,1032
672,1033
673,1036
674,1040
675,1041
676,132112
677,1048
678,1050
679,1051
680,1052
681,1053
682,1055
683,1056
684,1057
685,C3275438
686,1061
687,1062
688,1063
689,C3809049
690,1066
691,C0006625
692,1068
693,1071
694,1072
695,1073
696,1075
697,1080
698,1081
699,1082
700,132158
701,C1862324
702,1103
703,1105
704,1106
705,1107
706,1108
707,1109
708,C0037769
709,1111
710,1113
711,1114
712,C4225215
713,1116
714,1118
715,1119
716,1120
717,1121
718,1123
719,1124
720,C0021845
721,1128
722,1129
723,1130
724,1131
725,1132
726,1133
727,1134
728,1135
729,1136
730,1137
731,1138
732,1139
733,1140
734,1141
735,1142
736,1143
737,1144
738,1145
739,1146
740,1147
741,C0342727
742,1149
743,C0751914
744,1152
745,1153
746,1154
747,1155
748,C0362030
749,1158
750,C2752074
751,C0030491
752,1161
753,C0432230
754,1164
755,1174
756,1175
757,1176
758,1180
759,1181
760,1182
761,1183
762,1184
763,C4082301
764,1186
765,1187
766,1188
767,C2750079
768,1191
769,1192
770,1193
771,C2752040
772,C1846174
773,1200
774,1201
775,1203
776,C0751668
777,1207
778,1209
779,C2930927
780,1212
781,1213
782,1215
783,C1849320
784,1230
785,1232
786,1233
787,1234
788,1235
789,1236
790,1237
791,C0234162
792,1240
793,1241
794,1244
795,132320
796,C0010038
797,1258
798,1259
799,1260
800,1261
801,132332
802,1265
803,1266
804,1267
805,1268
806,1269
807,1270
808,1272
809,C0027889
810,C1847836
811,1277
812,1278
813,1280
814,1281
815,1282
816,1284
817,1285
818,1286
819,1287
820,1288
821,1289
822,1290
823,1291
824,1292
825,1293
826,1294
827,1295
828,1296
829,1297
830,1298
831,1299
832,1300
833,1301
834,1302
835,1303
836,C4310768
837,1305
838,1306
839,C1845408
